maxIter, NumGen, temp, estable, %Aciertos, Tiempo
2, 2, 100, 100, 95.8333, 0.001733
2, 4, 100, 100, 97.5, 0.004499
2, 8, 100, 100, 99.1667, 0.032917
2, 16, 100, 100, 99.1667, 0.516997
5, 2, 100, 100, 97.5, 0.006576
5, 4, 100, 100, 97.5, 0.0093115
5, 8, 100, 100, 99.1667, 0.107548
5, 16, 100, 100, 99.1667, 1.33503
10, 2, 100, 100, 98.3333, 0.0093325
10, 4, 100, 100, 98.3333, 0.0238445
10, 8, 100, 100, 99.1667, 0.195268
10, 16, 100, 100, 99.1667, 2.53034
50, 2, 100, 100, 99.1667, 0.0323935
50, 4, 100, 100, 99.1667, 0.1334
50, 8, 100, 100, 99.1667, 1.05187
2, 2, 50, 100, 95.8333, 0.00215
2, 4, 50, 100, 97.5, 0.0045365
2, 8, 50, 100, 99.1667, 0.0338565
5, 2, 50, 100, 97.5, 0.0064175
5, 4, 50, 100, 97.5, 0.0088875
5, 8, 50, 100, 99.1667, 0.0691405
10, 2, 50, 100, 98.3333, 0.0094815
10, 4, 50, 100, 98.3333, 0.023769
10, 8, 50, 100, 99.1667, 0.178455
50, 2, 50, 100, 98.3333, 0.0351035
50, 4, 50, 100, 99.1667, 0.135018
50, 8, 50, 100, 99.1667, 0.916302
2, 2, 50, 50, 95.8333, 0.002976
2, 4, 50, 50, 97.5, 0.0052245
2, 8, 50, 50, 99.1667, 0.0337035
5, 2, 50, 50, 97.5, 0.0064165
5, 4, 50, 50, 97.5, 0.0110045
5, 8, 50, 50, 99.1667, 0.069088
10, 2, 50, 50, 98.3333, 0.012835
10, 4, 50, 50, 98.3333, 0.0270595
10, 8, 50, 50, 99.1667, 0.180071
50, 2, 50, 50, 98.3333, 0.0356615
50, 4, 50, 50, 99.1667, 0.135627
50, 8, 50, 50, 99.1667, 0.846995
