maxIter, popSize, maxIterWC, %Aciertos, Tiempo
2, 5, 2, 97.5, 0.023397
2, 5, 4, 97.5, 0.022993
2, 5, 6, 97.5, 0.0253065
2, 5, 8, 97.5, 0.026229
10, 5, 2, 98.3333, 0.0330275
10, 5, 4, 98.3333, 0.0551815
10, 5, 6, 98.3333, 0.076385
10, 5, 8, 98.3333, 0.0992485
50, 5, 2, 97.5, 0.0334965
50, 5, 4, 98.3333, 0.0561185
50, 5, 6, 98.3333, 0.0768475
50, 5, 8, 99.1667, 0.098724
2, 10, 4, 98.3333, 0.100441
2, 10, 6, 98.3333, 0.101094
2, 10, 8, 98.3333, 0.100044
10, 10, 2, 99.1667, 0.148192
10, 10, 4, 99.1667, 0.245998
10, 10, 6, 99.1667, 0.342861
10, 10, 8, 99.1667, 0.444935
50, 10, 2, 99.1667, 0.151731
50, 10, 4, 98.3333, 0.246533
50, 10, 6, 98.3333, 0.346445
50, 10, 8, 99.1667, 0.444733
2, 20, 4, 99.1667, 0.423689
2, 20, 6, 98.3333, 0.420434
2, 20, 8, 99.1667, 0.420574
10, 20, 2, 99.1667, 0.628231
10, 20, 4, 99.1667, 1.03705
10, 20, 6, 99.1667, 1.43244
10, 20, 8, 99.1667, 1.84992
50, 20, 2, 99.1667, 0.627933
50, 20, 4, 99.1667, 1.03112
50, 20, 6, 99.1667, 1.4523
50, 20, 8, 99.1667, 1.84809
