LS random
maxIter, NumGen, %Aciertos, Tiempo
2, 3,  95.8333, 0
5, 4,  96.6667, 0
10, 8,  97.5, 0.5
50, 20, 98.3333, 0
100, 60, 97.5, 0

LS relief
maxIter, NumGen, %Aciertos, Tiempo
2, 3, 95.8333, 0
5, 4, 95.8333, 0
10, 8, 97.5, 0
50, 20, 97.5, 0
100, 60, 97.5, 0

ILS random
maxIter, NumGen, maxIterWC, %Aciertos, Tiempo
2, 3, 3, 97.5, 0.0072405
5, 4, 3, 98.3333, 0.0069645
10, 8, 3, 97.5, 0.013895
50, 20, 3, 97.5, 0.0254675
2, 3, 4, 97.5, 0.0072445
5, 4, 4, 98.3333, 0.011036
10, 8, 4, 97.5, 0.014299
50, 20, 4, 97.5, 0.036013

ILS relief
maxIter, NumGen, maxIterWC, %Aciertos, Tiempo
2, 3, 3, 97.5, 0.0056145
5, 4, 3, 96.6667, 0.005287
10, 8, 3, 97.5, 0.0106905
50, 20, 3, 97.5, 0.025469
2, 3, 4, 97.5, 0.007122
5, 4, 4, 96.6667, 0.006225
10, 8, 4, 97.5, 0.0178455
50, 20, 4, 97.5, 0.03602

SA random
maxIter, NumGen, temp, estable, %Aciertos, Tiempo
2, 2, 100, 100, 95.8333, 0.001733
2, 4, 100, 100, 97.5, 0.004499
2, 8, 100, 100, 99.1667, 0.032917
2, 16, 100, 100, 99.1667, 0.516997
5, 2, 100, 100, 97.5, 0.006576
5, 4, 100, 100, 97.5, 0.0093115
5, 8, 100, 100, 99.1667, 0.107548
5, 16, 100, 100, 99.1667, 1.33503
10, 2, 100, 100, 98.3333, 0.0093325
10, 4, 100, 100, 98.3333, 0.0238445
10, 8, 100, 100, 99.1667, 0.195268
10, 16, 100, 100, 99.1667, 2.53034
50, 2, 100, 100, 99.1667, 0.0323935
50, 4, 100, 100, 99.1667, 0.1334
50, 8, 100, 100, 99.1667, 1.05187
2, 2, 50, 100, 95.8333, 0.00215
2, 4, 50, 100, 97.5, 0.0045365
2, 8, 50, 100, 99.1667, 0.0338565
5, 2, 50, 100, 97.5, 0.0064175
5, 4, 50, 100, 97.5, 0.0088875
5, 8, 50, 100, 99.1667, 0.0691405
10, 2, 50, 100, 98.3333, 0.0094815
10, 4, 50, 100, 98.3333, 0.023769
10, 8, 50, 100, 99.1667, 0.178455
50, 2, 50, 100, 98.3333, 0.0351035
50, 4, 50, 100, 99.1667, 0.135018
50, 8, 50, 100, 99.1667, 0.916302
2, 2, 50, 50, 95.8333, 0.002976
2, 4, 50, 50, 97.5, 0.0052245
2, 8, 50, 50, 99.1667, 0.0337035
5, 2, 50, 50, 97.5, 0.0064165
5, 4, 50, 50, 97.5, 0.0110045
5, 8, 50, 50, 99.1667, 0.069088
10, 2, 50, 50, 98.3333, 0.012835
10, 4, 50, 50, 98.3333, 0.0270595
10, 8, 50, 50, 99.1667, 0.180071
50, 2, 50, 50, 98.3333, 0.0356615
50, 4, 50, 50, 99.1667, 0.135627
50, 8, 50, 50, 99.1667, 0.846995

SA relief
maxIter, NumGen, temp %Aciertos, Tiempo
2, 2, 100, 100, 96.6667, 0.0019035
2, 4, 100, 100, 97.5, 0.0048015
2, 8, 100, 100, 99.1667, 0.035221
2, 16, 100, 100, 99.1667, 0.540506
5, 2, 100, 100, 97.5, 0.004302
5, 4, 100, 100, 99.1667, 0.017063
5, 8, 100, 100, 99.1667, 0.117603
5, 16, 100, 100, 99.1667, 1.18248
10, 2, 100, 100, 97.5, 0.0094085
10, 4, 100, 100, 99.1667, 0.025932
10, 8, 100, 100, 99.1667, 0.23537
10, 16, 100, 100, 99.1667, 2.24277
50, 2, 100, 100, 99.1667, 0.0350055
50, 4, 100, 100, 99.1667, 0.150114
50, 8, 100, 100, 99.1667, 1.15374
2, 2, 50, 100, 96.6667, 0.001921
2, 4, 50, 100, 97.5, 0.0048055
2, 8, 50, 100, 98.3333, 0.054577
5, 4, 50, 100, 99.1667, 0.0171175
5, 8, 50, 100, 99.1667, 0.165833
10, 2, 50, 100, 97.5, 0.0094955
5, 2, 50, 100, 97.5, 0.004304
10, 4, 50, 100, 93.3333, 0
10, 8, 50, 100, 99.1667, 0.23754
50, 2, 50, 100, 98.3333, 0.038803
50, 4, 50, 100, 99.1667, 0.145719
50, 8, 50, 100, 99.1667, 1.26785
2, 2, 50, 50, 96.6667, 0.0018985
2, 4, 50, 50, 97.5, 0.0048055
2, 8, 50, 50, 98.3333, 0.05585
5, 2, 50, 50, 97.5, 0.0043505
5, 4, 50, 50, 99.1667, 0.0171715
5, 8, 50, 50, 99.1667, 0.165803
10, 2, 50, 50, 97.5, 0.0085295
10, 4, 50, 50, 99.1667, 0.0274365
10, 8, 50, 50, 99.1667, 0.230878
50, 2, 50, 50, 98.3333, 0.0389235
50, 4, 50, 50, 99.1667, 0.146285
50, 8, 50, 50, 99.1667, 1.06618

Scatter random
maxIter, popSize, maxIterWC, %Aciertos, Tiempo
2, 5, 2, 97.5, 0.0225335
2, 5, 4, 97.5, 0.0227095
2, 5, 6, 97.5, 0.022474
2, 5, 8, 97.5, 0.023055
10, 5, 2, 97.5, 0.033398
10, 5, 4, 98.3333, 0.0550625
10, 5, 6, 97.5, 0.076187
10, 5, 8, 98.3333, 0.0983225
50, 5, 2, 98.3333, 0.0336085
50, 5, 4, 98.3333, 0.055009
50, 5, 6, 98.3333, 0.075022
50, 5, 8, 98.3333, 0.0965235
2, 10, 4, 97.5, 0.101311
2, 10, 6, 98.3333, 0.099992
2, 10, 8, 98.3333, 0.101543
10, 10, 2, 98.3333, 0.148722
10, 10, 4, 98.3333, 0.243982
10, 10, 6, 99.1667, 0.34275
10, 10, 8, 99.1667, 0.43498
50, 10, 2, 98.3333, 0.150023
50, 10, 4, 98.3333, 0.246687
50, 10, 6, 99.1667, 0.345515
50, 10, 8, 99.1667, 0.437731
2, 20, 4, 99.1667, 0.419829
2, 20, 6, 99.1667, 0.420353
2, 20, 8, 99.1667, 0.425347
10, 20, 2, 99.1667, 0.630875
10, 20, 4, 99.1667, 1.04929
10, 20, 6, 99.1667, 1.46079
10, 20, 8, 99.1667, 1.86167
50, 20, 2, 99.1667, 0.623293
50, 20, 4, 99.1667, 1.03611
50, 20, 6, 99.1667, 1.4464
50, 20, 8, 98.3333, 1.84269

Scatter relief
maxIter, popSize, maxIterWC, %Aciertos, Tiempo
2, 5, 2, 97.5, 0.023397
2, 5, 4, 97.5, 0.022993
2, 5, 6, 97.5, 0.0253065
2, 5, 8, 97.5, 0.026229
10, 5, 2, 98.3333, 0.0330275
10, 5, 4, 98.3333, 0.0551815
10, 5, 6, 98.3333, 0.076385
10, 5, 8, 98.3333, 0.0992485
50, 5, 2, 97.5, 0.0334965
50, 5, 4, 98.3333, 0.0561185
50, 5, 6, 98.3333, 0.0768475
50, 5, 8, 99.1667, 0.098724
2, 10, 4, 98.3333, 0.100441
2, 10, 6, 98.3333, 0.101094
2, 10, 8, 98.3333, 0.100044
10, 10, 2, 99.1667, 0.148192
10, 10, 4, 99.1667, 0.245998
10, 10, 6, 99.1667, 0.342861
10, 10, 8, 99.1667, 0.444935
50, 10, 2, 99.1667, 0.151731
50, 10, 4, 98.3333, 0.246533
50, 10, 6, 98.3333, 0.346445
50, 10, 8, 99.1667, 0.444733
2, 20, 4, 99.1667, 0.423689
2, 20, 6, 98.3333, 0.420434
2, 20, 8, 99.1667, 0.420574
10, 20, 2, 99.1667, 0.628231
10, 20, 4, 99.1667, 1.03705
10, 20, 6, 99.1667, 1.43244
10, 20, 8, 99.1667, 1.84992
50, 20, 2, 99.1667, 0.627933
50, 20, 4, 99.1667, 1.03112
50, 20, 6, 99.1667, 1.4523
50, 20, 8, 99.1667, 1.84809

DE
maxIter, popSize, CR, F, %Aciertos, Tiempo
2, 5, 0.3, 0.3, 6, 97.5, 0.005582
2, 5, 0.5, 0.3, 97.5, 0.0045245
2, 5, 0.7, 0.3, 97.5, 0.005204
2, 5, 0.3, 0.5, 97.5, 0.0044515
2, 5, 0.5, 0.5, 98.3333, 0.005593
2, 5, 0.7, 0.5, 98.3333, 0.00463
2, 5, 0.3, 0.7, 97.5, 0.0056275
2, 5, 0.5, 0.7, 97.5, 0.0053335
2, 5, 0.7, 0.7, 97.5, 0.0053775
2, 10, 0.3, 0.3, 96.6667, 0.009656
2, 10, 0.5, 0.3, 96.6667, 0.00874
2, 10, 0.7, 0.3, 96.6667, 0.009636
2, 10, 0.3, 0.5, 96.6667, 0.009811
2, 10, 0.5, 0.5, 96.6667, 0.009863
2, 10, 0.7, 0.5, 96.6667, 0.009428
2, 10, 0.3, 0.7, 96.6667, 0.0088645
2, 10, 0.5, 0.7, 96.6667, 0.0098275
2, 10, 0.7, 0.7, 97.5, 0.0096955
