maxIter, popSize, CR, F, %Aciertos, Tiempo
150, 5, 0.3, 0.3, 86.747, 0.072
150, 5, 0.5, 0.3, 85.5422, 0.0815
150, 5, 0.7, 0.3, 86.747, 0.0605
150, 5, 0.3, 0.5, 85.5422, 0.065
150, 5, 0.5, 0.5, 84.3373, 0.062
150, 5, 0.7, 0.5, 86.1446, 0.057
150, 5, 0.3, 0.7, 85.5422, 0.0505
150, 5, 0.5, 0.7, 86.747, 0.074
150, 5, 0.7, 0.7, 84.3373, 0.071
150, 10, 0.3, 0.3, 86.747, 0.2485
150, 10, 0.5, 0.3, 89.1566, 0.3595
150, 10, 0.7, 0.3, 86.1446, 0.29
150, 10, 0.3, 0.5, 87.9518, 0.2235
150, 10, 0.5, 0.5, 89.1566, 0.1865
150, 10, 0.7, 0.5, 88.5542, 0.259
150, 10, 0.3, 0.7, 87.3494, 0.152
150, 10, 0.5, 0.7, 88.5542, 0.23
150, 10, 0.7, 0.7, 88.5542, 0.2455
150, 20, 0.3, 0.3, 89.759, 1.2115
150, 20, 0.5, 0.3, 90.3614, 1.1
150, 20, 0.7, 0.3, 89.759, 0.6515
150, 20, 0.3, 0.5, 87.9518, 0.954
150, 20, 0.5, 0.5, 89.1566, 0.8625
150, 20, 0.7, 0.5, 87.9518, 0.6055
150, 20, 0.3, 0.7, 89.1566, 0.864
150, 20, 0.5, 0.7, 88.5542, 0.591
150, 20, 0.7, 0.7, 89.759, 0.5215
350, 5, 0.3, 0.3, 86.747, 0.079
350, 5, 0.5, 0.3, 85.5422, 0.0485
350, 5, 0.7, 0.3, 83.1325, 0.0555
350, 5, 0.3, 0.5, 84.3373, 0.0865
350, 5, 0.5, 0.5, 83.1325, 0.045
350, 5, 0.7, 0.5, 86.747, 0.0635
350, 5, 0.3, 0.7, 83.7349, 0.056
350, 5, 0.5, 0.7, 84.9398, 0.0815
350, 5, 0.7, 0.7, 85.5422, 0.0835
350, 10, 0.3, 0.3, 85.5422, 0.2145
350, 10, 0.5, 0.3, 86.1446, 0.179
350, 10, 0.7, 0.3, 86.1446, 0.1635
350, 10, 0.3, 0.5, 86.747, 0.2025
350, 10, 0.5, 0.5, 87.3494, 0.2955
350, 10, 0.7, 0.5, 87.9518, 0.275
350, 10, 0.3, 0.7, 85.5422, 0.133
350, 10, 0.5, 0.7, 88.5542, 0.2365
350, 20, 0.3, 0.3, 88.5542, 1.58317
350, 20, 0.5, 0.3, 89.1566, 1.46866
350, 20, 0.7, 0.3, 89.1566, 1.99203
350, 20, 0.3, 0.5, 88.5542, 0.916451
350, 20, 0.5, 0.5, 89.1566, 1.28393
350, 20, 0.7, 0.5, 87.3494, 0.888943
350, 20, 0.3, 0.7, 89.759, 1.35783
350, 20, 0.5, 0.7, 87.9518, 1.41385
350, 20, 0.7, 0.7, 87.9518, 1.16448
