maxIter, popSize, maxIterWC, Aciertos, Tiempo
150, 5, 2, 83.7349, 0.145
150, 5, 4, 85.5422, 0.233
150, 5, 6, 83.7349, 0.3275
150, 5, 8, 84.9398, 0.4145
250, 5, 2, 86.1446, 0.1435
250, 5, 4, 86.1446, 0.2325
250, 5, 6, 86.747, 0.3335
250, 5, 8, 84.3373, 0.4305
350, 5, 2, 84.9398, 0.147
350, 5, 4, 86.1446, 0.244
350, 5, 6, 86.747, 0.358
350, 5, 8, 86.1446, 0.4485
150, 10, 4, 88.5542, 1.0865
150, 10, 6, 88.5542, 1.5075
150, 10, 8, 87.3494, 1.96
250, 10, 2, 86.747, 0.6515
250, 10, 4, 87.3494, 1.0915
250, 10, 6, 89.1566, 1.511
250, 10, 8, 89.1566, 1.9465
350, 10, 2, 85.5422, 0.66
350, 10, 4, 86.747, 1.086
350, 10, 6, 86.747, 1.5155
350, 10, 8, 90.3614, 1.9515
150, 20, 4, 89.759, 4.5745
150, 20, 6, 89.759, 6.3445
150, 20, 8, 90.9639, 8.217
250, 20, 2, 87.9518, 2.743
250, 20, 4, 89.759, 4.595
250, 20, 6, 89.759, 6.404
250, 20, 8, 91.5663, 8.157
350, 20, 2, 87.9518, 2.7595
350, 20, 4, 89.759, 4.597
350, 20, 6, 90.9639, 6.38
350, 20, 8, 89.759, 8.1795
