maxIter, popSize, CR, F, %Aciertos, Tiempo
2, 5, 0.3, 0.3, 81.7391, 9.086
2, 5, 0.5, 0.3, 81.9837, 8.949
2, 5, 0.7, 0.3, 87.038, 9.0155
2, 5, 0.3, 0.5, 87.1467, 9.729
2, 5, 0.5, 0.5, 83.75, 9.6045
2, 5, 0.7, 0.5, 87.6359, 9.64
2, 5, 0.3, 0.7, 85.0815, 9.757
2, 5, 0.5, 0.7, 85.8152, 9.7085
2, 5, 0.7, 0.7, 86.1413, 9.573
2, 10, 0.3, 0.3, 85.6522, 18.357
2, 10, 0.5, 0.3, 87.7446, 18.326
2, 10, 0.7, 0.3, 86.2772, 18.3675
2, 10, 0.3, 0.5, 86.3043, 18.314
2, 10, 0.5, 0.5, 88.4783, 18.341
2, 10, 0.7, 0.5, 86.8207, 18.609
2, 10, 0.3, 0.7, 88.288, 18.573
2, 10, 0.5, 0.7, 88.3696, 18.299
2, 10, 0.7, 0.7, 87.1739, 18.3285
2, 20, 0.3, 0.3, 86.7391, 36.074
2, 20, 0.5, 0.3, 87.4185, 36.155
2, 20, 0.7, 0.3, 89.0761, 36.1285
2, 20, 0.3, 0.5, 89.7283, 36.025
2, 20, 0.5, 0.5, 89.6739, 36.1575
2, 20, 0.7, 0.5, 86.4946, 35.941
2, 20, 0.3, 0.7, 86.712, 36.871
2, 20, 0.5, 0.7, 88.3696, 36.173
2, 20, 0.7, 0.7, 86.5489, 36.7635
15, 5, 0.3, 0.3, 86.3859, 55.419
15, 5, 0.5, 0.3, 87.9076, 56.584
15, 5, 0.7, 0.3, 90.7609, 56.1965
15, 5, 0.3, 0.5, 86.8207, 56.567
15, 5, 0.5, 0.5, 87.337, 55.6105
15, 5, 0.7, 0.5, 91.0054, 55.6065
15, 5, 0.3, 0.7, 89.9728, 50.3865
15, 5, 0.5, 0.7, 89.5109, 48.6895
15, 5, 0.7, 0.7, 91.2772, 55.333
15, 10, 0.3, 0.3, 90.2717, 106.697
15, 10, 0.5, 0.3, 90.1087, 104.912
15, 10, 0.7, 0.3, 91.2772, 105.558
15, 10, 0.3, 0.5, 91.1685, 111.144
15, 10, 0.5, 0.5, 90.462, 111.415
15, 10, 0.7, 0.5, 89.0217, 109.785
15, 10, 0.3, 0.7, 90.5978, 111.839
15, 10, 0.5, 0.7, 90.4348, 111.267
