LS random
maxIter, NumGen, %Aciertos, Tiempo
2, 3, 72.7, 2.502
10, 5, 73.9, 7.55
15, 10, 73.875, 6.7405
20, 15, 77.175, 40.233

LS relief
maxIter, NumGen, %Aciertos, Tiempo
2, 3, 79.55, 2.358
10, 5, 79.325, 3.7325
15, 10, 80.35, 16.2985
20, 15, 80.825, 35.447

ILS random
maxIter, NumGen, maxIterWC, %Aciertos, Tiempo
2, 3, 3, 74.5, 19.6815
10, 5, 3, 76.125, 71.5155
15, 10, 3, 76.3, 68.486
20, 15, 3, 78.725, 192.809
2, 3, 4, 74.65, 14.0385
10, 5, 4, 74.425, 34.826
15, 10, 4, 76.25, 163.803
20, 15, 4, 77.15, 185.736


ILS relief
maxIter, NumGen, maxIterWC, %Aciertos, Tiempo
2, 3, 3, 79.9, 13.1505
10, 5, 3, 80.075, 30.7075
15, 10, 3, 80.875, 94.9805
20, 15, 3, 80.8, 102.454
2, 3, 4, 80.525, 13.2005
10, 5, 4, 80.425, 30.4605
15, 10, 4, 80.95, 92.4885
20, 15, 4, 80.65, 116.255

SA random
maxIter, NumGen, temp, estable, %Aciertos, Tiempo
2, 2, 100, 100, 72.725, 4.778
2, 4, 100, 100, 73.875, 10.123
10, 2, 100, 100, 76.6, 18.3215
10, 4, 100, 100, 76.35, 92.693
15, 2, 100, 100, 75.925, 29.6205
15, 4, 100, 100, 78.325, 145.279
20, 2, 100, 100, 75.975, 38.55
2, 2, 50, 100, 72.525, 7.8405
2, 4, 50, 100, 75.975, 24.7035
10, 2, 50, 100, 73.125, 24.609
10, 4, 50, 100, 78, 116.287
15, 2, 50, 100, 75.975, 34.5645
20, 2, 50, 100, 73.275, 40.3585

SA relief
maxIter, NumGen, temp, estable, %Aciertos, Tiempo
2, 2, 100, 100, 79.825, 4.0175
2, 4, 100, 100, 80.5, 23.997
10, 2, 100, 100, 79.875, 18.2615
10, 4, 100, 100, 79.725, 66.04
15, 2, 100, 100, 79.875, 32.2715
15, 4, 100, 100, 80.175, 140.566
20, 2, 100, 100, 79.6, 37.829
2, 2, 50, 100, 79.375, 6.37
2, 4, 50, 100, 79.95, 18.668
10, 2, 50, 100, 80, 20.805
10, 4, 50, 100, 80.175, 89.8575
15, 2, 50, 100, 79.725, 25.53
20, 2, 50, 100, 79.8, 27.048


Scatter random
maxIter, popSize, maxIterWC, %Aciertos, Tiempo
2, 5, 2, 75.9, 46.931
2, 5, 4, 77.15, 51.694
2, 5, 6, 77.275, 48.224
2, 5, 8, 75.8, 48.769
10, 5, 2, 76.4, 69.2705
10, 5, 4, 77.4, 111.748
10, 5, 6, 78.45, 150.754
10, 5, 8, 78.5, 195.281
15, 5, 2, 77.3, 68.6605
15, 5, 4, 77.075, 111.191
15, 5, 6, 78.425, 148.372
15, 5, 8, 78.6, 192.824
2, 10, 2, 77.825, 198.541
2, 10, 4, 77.925, 200.025

Scatter relief
maxIter, popSize, maxIterWC, %Aciertos, Tiempo
2, 5, 2, 79.2, 46.972
2, 5, 4, 79.075, 43.545
2, 5, 6, 79.35, 44.881
2, 5, 8, 78.425, 43.688
10, 5, 2, 79.85, 63.722
10, 5, 4, 80.6, 103.85
10, 5, 6, 79.675, 150.108
10, 5, 8, 80.7, 188.704
15, 5, 2, 79.55, 68.755
15, 5, 4, 79.475, 109.728
15, 5, 6, 81.025, 153.25
15, 5, 8, 80.475, 196.72
2, 10, 2, 79.45, 191.678
2, 10, 4, 79.325, 191.315

DE
maxIter, popSize, CR, F, %Aciertos, Tiempo
2, 5, 0.3, 0.3, 74.1, 7.825
2, 5, 0.5, 0.3, 75.075, 7.9195
2, 5, 0.7, 0.3, 75.025, 7.805
2, 5, 0.3, 0.5, 76.25, 7.8385
2, 5, 0.5, 0.5, 75.675, 8.225
2, 5, 0.7, 0.5, 75.45, 8.0515
2, 5, 0.3, 0.7, 75.55, 7.904
2, 5, 0.5, 0.7, 74.875, 7.6895
2, 5, 0.7, 0.7, 74.85, 7.614
2, 10, 0.3, 0.3, 75.875, 14.8795
2, 10, 0.5, 0.3, 75.7, 14.9525
2, 10, 0.7, 0.3, 76.425, 14.8395
2, 10, 0.3, 0.5, 75.25, 14.9235
2, 10, 0.5, 0.5, 75.475, 14.8285
2, 10, 0.7, 0.5, 76.25, 14.9455
2, 10, 0.3, 0.7, 76.05, 14.9135
2, 10, 0.5, 0.7, 76.25, 14.9685
2, 10, 0.7, 0.7, 76, 14.8885
2, 20, 0.3, 0.3, 76.9, 30.215
2, 20, 0.5, 0.3, 75.95, 30.3315
2, 20, 0.7, 0.3, 76.3, 30.0685
2, 20, 0.3, 0.5, 76.625, 30
2, 20, 0.5, 0.5, 76.275, 30.1685
2, 20, 0.7, 0.5, 75.475, 30.0535
2, 20, 0.3, 0.7, 76.175, 30.1715
2, 20, 0.5, 0.7, 75.85, 30.1775
2, 20, 0.7, 0.7, 75.625, 30.1455
15, 5, 0.3, 0.3, 77.25, 46.796
15, 5, 0.5, 0.3, 77.825, 45.5315
15, 5, 0.7, 0.3, 76.925, 45.443
15, 5, 0.3, 0.5, 77.825, 47.232
15, 5, 0.5, 0.5, 76.65, 43.14
15, 5, 0.7, 0.5, 76.925, 47.933
15, 5, 0.3, 0.7, 77, 32.5205
15, 5, 0.5, 0.7, 76.775, 44.626
15, 5, 0.7, 0.7, 76.1, 29.344
15, 10, 0.3, 0.3, 78.275, 94.8235
15, 10, 0.5, 0.3, 78.375, 94.9545
15, 10, 0.7, 0.3, 78.75, 96.0775
15, 10, 0.3, 0.5, 77.925, 97.3145
15, 10, 0.5, 0.5, 77.775, 97.537
15, 10, 0.7, 0.5, 78.05, 87.164
15, 10, 0.3, 0.7, 77.6, 90.7595
15, 10, 0.5, 0.7, 76.675, 74.4325
