maxIter, popSize, CR, F, %Aciertos, Tiempo
2, 5, 0.3, 0.3, 74.1, 7.825
2, 5, 0.5, 0.3, 75.075, 7.9195
2, 5, 0.7, 0.3, 75.025, 7.805
2, 5, 0.3, 0.5, 76.25, 7.8385
2, 5, 0.5, 0.5, 75.675, 8.225
2, 5, 0.7, 0.5, 75.45, 8.0515
2, 5, 0.3, 0.7, 75.55, 7.904
2, 5, 0.5, 0.7, 74.875, 7.6895
2, 5, 0.7, 0.7, 74.85, 7.614
2, 10, 0.3, 0.3, 75.875, 14.8795
2, 10, 0.5, 0.3, 75.7, 14.9525
2, 10, 0.7, 0.3, 76.425, 14.8395
2, 10, 0.3, 0.5, 75.25, 14.9235
2, 10, 0.5, 0.5, 75.475, 14.8285
2, 10, 0.7, 0.5, 76.25, 14.9455
2, 10, 0.3, 0.7, 76.05, 14.9135
2, 10, 0.5, 0.7, 76.25, 14.9685
2, 10, 0.7, 0.7, 76, 14.8885
2, 20, 0.3, 0.3, 76.9, 30.215
2, 20, 0.5, 0.3, 75.95, 30.3315
2, 20, 0.7, 0.3, 76.3, 30.0685
2, 20, 0.3, 0.5, 76.625, 30
2, 20, 0.5, 0.5, 76.275, 30.1685
2, 20, 0.7, 0.5, 75.475, 30.0535
2, 20, 0.3, 0.7, 76.175, 30.1715
2, 20, 0.5, 0.7, 75.85, 30.1775
2, 20, 0.7, 0.7, 75.625, 30.1455
15, 5, 0.3, 0.3, 77.25, 46.796
15, 5, 0.5, 0.3, 77.825, 45.5315
15, 5, 0.7, 0.3, 76.925, 45.443
15, 5, 0.3, 0.5, 77.825, 47.232
15, 5, 0.5, 0.5, 76.65, 43.14
15, 5, 0.7, 0.5, 76.925, 47.933
15, 5, 0.3, 0.7, 77, 32.5205
15, 5, 0.5, 0.7, 76.775, 44.626
15, 5, 0.7, 0.7, 76.1, 29.344
15, 10, 0.3, 0.3, 78.275, 94.8235
15, 10, 0.5, 0.3, 78.375, 94.9545
15, 10, 0.7, 0.3, 78.75, 96.0775
15, 10, 0.3, 0.5, 77.925, 97.3145
15, 10, 0.5, 0.5, 77.775, 97.537
15, 10, 0.7, 0.5, 78.05, 87.164
15, 10, 0.3, 0.7, 77.6, 90.7595
15, 10, 0.5, 0.7, 76.675, 74.4325
