maxIter, popSize, CR, F, %Aciertos, Tiempo
15, 5, 0.3, 0.3, 84.8018, 0.4335
15, 5, 0.5, 0.3, 87.0044, 0.4265
15, 5, 0.7, 0.3, 88.326, 0.408
15, 5, 0.3, 0.5, 87.4449, 0.412
15, 5, 0.5, 0.5, 90.3084, 0.4365
15, 5, 0.7, 0.5, 89.6476, 0.404
15, 5, 0.3, 0.7, 86.7841, 0.424
15, 5, 0.5, 0.7, 90.0881, 0.3305
15, 5, 0.7, 0.7, 88.9868, 0.448
15, 10, 0.3, 0.3, 87.8855, 0.827
15, 10, 0.5, 0.3, 89.207, 0.9295
15, 10, 0.7, 0.3, 89.6476, 0.929
15, 10, 0.3, 0.5, 88.326, 0.8995
15, 10, 0.7, 0.5, 90.7489, 0.849
15, 10, 0.5, 0.7, 89.4273, 0.807
15, 10, 0.3, 0.7, 86.5639, 0.8545
15, 10, 0.5, 0.7, 89.207, 0.851
15, 10, 0.7, 0.7, 90.0881, 0.8435
15, 20, 0.3, 0.3, 88.326, 1.7105
15, 20, 0.5, 0.3, 91.63, 1.73
15, 20, 0.7, 0.3, 90.7489, 1.703
15, 20, 0.3, 0.5, 89.6476, 1.715
15, 20, 0.5, 0.5, 90.7489, 1.699
15, 20, 0.7, 0.5, 90.5286, 1.7085
15, 20, 0.3, 0.7, 90.3084, 1.793
15, 20, 0.5, 0.7, 89.207, 1.7165
15, 20, 0.7, 0.7, 89.8678, 1.7015
50, 5, 0.3, 0.3, 86.3436, 0.6145
50, 5, 0.5, 0.3, 89.6476, 0.582
50, 5, 0.7, 0.3, 86.1233, 0.3485
50, 5, 0.3, 0.5, 87.0044, 0.4985
50, 5, 0.3, 0.5, 90.0881, 0.5835
50, 5, 0.5, 0.5, 85.022, 0.329
50, 5, 0.7, 0.5, 86.5639, 0.334
50, 5, 0.3, 0.7, 87.6652, 0.532
50, 5, 0.5, 0.7, 87.8855, 0.4585
50, 5, 0.7, 0.7, 85.4626, 0.543
50, 10, 0.3, 0.3, 88.9868, 1.8325
50, 10, 0.5, 0.3, 89.207, 1.0195
50, 10, 0.7, 0.3, 91.8502, 1.6535
50, 10, 0.3, 0.5, 91.4097, 2.077
50, 10, 0.5, 0.5, 90.9692, 1.7965
50, 10, 0.7, 0.5, 91.63, 1.2105
50, 10, 0.3, 0.7, 92.511, 2.1145
50, 10, 0.5, 0.7, 93.6123, 2.512
50, 20, 0.3, 0.3, 93.1718, 13.2436
50, 20, 0.5, 0.3, 92.2907, 10.7609
50, 20, 0.7, 0.3, 94.2731, 13.2424
50, 20, 0.3, 0.5, 92.9515, 13.2435
50, 20, 0.5, 0.5, 92.511, 12.5972
50, 20, 0.7, 0.5, 92.511, 12.8516
50, 20, 0.3, 0.7, 92.2907, 12.9884
50, 20, 0.5, 0.7, 92.7313, 13.2423
50, 20, 0.7, 0.7, 93.3921, 12.328
