maxIter, popSize, maxIterWC, %Aciertos, Tiempo
15, 5, 2, 82.3789, 0.5355
15, 5, 4, 85.022, 0.894
15, 5, 6, 87.0044, 1.2035
15, 5, 8, 85.9031, 1.651
40, 5, 2, 85.2423, 0.5985
40, 5, 4, 86.7841, 0.961
40, 5, 6, 87.8855, 1.3635
40, 5, 8, 88.7665, 1.619
50, 5, 2, 85.6828, 0.561
50, 5, 4, 85.2423, 0.948
50, 5, 6, 88.326, 1.263
50, 5, 8, 89.6476, 1.661
15, 10, 2, 87.2247, 2.429
15, 10, 4, 89.6476, 4.051
15, 10, 6, 90.9692, 5.6175
15, 10, 8, 90.0881, 7.438
40, 10, 2, 88.5463, 2.525
40, 10, 4, 90.0881, 4.1405
40, 10, 6, 92.2907, 5.6865
40, 10, 8, 90.7489, 7.424
50, 10, 2, 88.5463, 2.5145
50, 10, 4, 88.7665, 4.0895
50, 10, 6, 91.4097, 5.728
50, 10, 8, 89.6476, 7.3905
